step,vid,lat_ms,ade,fde,acc_0.5m,acc_1.0m,acc_2.0m,prec_0.5m,prec_1.0m,prec_2.0m,gt_frames
234,4,100.31,70.6628,99.9345,0.0000,0.0500,0.0500,0.0000,0.0500,0.0500,20
234,5,2.91,40.6797,79.3684,0.0500,0.1000,0.2000,0.0500,0.1000,0.2000,20
234,6,2.69,24.8864,68.9877,0.0000,0.0500,0.1500,0.0000,0.0500,0.1500,20
234,7,2.83,190.2753,307.0158,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
234,8,2.64,6.6419,13.2172,0.0000,0.0500,0.1500,0.0000,0.0500,0.1500,20
234,9,2.55,6.4061,12.5314,0.0000,0.0500,0.1500,0.0000,0.0500,0.1500,20
234,10,2.57,133.5875,219.7405,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
235,12,2.71,28.0164,49.7910,0.0000,0.0500,0.2000,0.0000,0.0500,0.2000,20
235,13,2.60,143.0175,231.1061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
259,5,2.59,67.4383,109.3283,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
259,6,2.64,43.6592,94.2767,0.0500,0.0500,0.1000,0.0500,0.0500,0.1000,20
259,7,2.51,186.6943,267.7161,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
259,8,2.55,6.4155,1.0835,0.0000,0.0000,0.1000,0.0000,0.0000,0.1000,20
259,9,2.50,7.3845,13.4855,0.0000,0.0000,0.0500,0.0000,0.0000,0.0500,20
259,10,2.46,134.2777,220.4068,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
260,12,2.50,59.1888,88.6383,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
260,13,2.50,144.1197,232.0421,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
284,7,2.52,174.1426,226.7451,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
284,8,2.66,8.1571,24.6955,0.0000,0.0500,0.0500,0.0000,0.0500,0.0500,20
284,9,2.57,8.3995,14.5892,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
284,10,2.56,134.8671,221.1932,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
285,13,2.59,144.9746,229.8927,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
288,14,2.50,194.0620,302.7902,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20
