id,frame,idv_type,v,acc,x,lane_index,vehicle_sum,p_vehicle_sum
9,4,car331,33.8637,1.6217,42.9977,2,1,0
9,5,car331,35.2795,1.3166,77.7638,2,1,0
9,6,car331,36.4696,1.2258,113.7958,2,1,0
9,7,car331,37.715,1.2074,151.0592,2,1,0
9,8,car331,38.8924,1.1613,189.5144,2,1,0
9,9,car331,40.0633,1.0371,229.1588,2,1,0
9,10,car331,40.9727,0.8365,269.8086,2,1,0
9,11,car331,41.8142,0.8233,311.3055,2,1,0
9,12,car331,42.5181,0.6618,353.5648,2,1,0
9,13,car331,43.1408,0.5793,396.4856,2,1,0
9,14,car331,43.6286,0.4568,439.9405,2,1,0
9,15,car331,44.0133,0.348,483.8184,2,1,0
9,16,car331,44.2839,0.1925,528.0238,2,1,0
9,17,car331,44.539,0.298,572.4499,2,1,0
9,18,car331,44.7005,0.0939,617.1048,2,1,0
9,19,car331,44.8854,0.2436,661.9071,2,1,0
9,20,car331,45.0723,0.1572,706.9178,2,1,0
9,21,car331,45.1731,0.1402,752.0475,2,1,0
9,22,car331,45.2749,-0.0225,797.3063,2,1,0
9,23,car331,45.312,0.0479,842.5938,2,1,0
9,24,car331,45.2696,-0.0517,887.8821,2,1,0
9,25,car331,45.2094,-0.1232,933.1328,2,1,0
9,26,car331,45.2152,-0.008,978.3452,2,1,0
9,27,car331,45.1397,-0.1049,1023.5217,2,1,0
9,28,car331,45.1312,0.0329,1068.6468,2,1,0
9,29,car331,45.2066,0.1188,1113.8154,2,1,0
9,30,car331,45.4394,0.3348,1159.1468,2,1,0
12,31,car49,31.9823,1.3609,44.4568,1,2,0
9,31,car331,45.5434,-0.0029,1204.6794,2,2,0
12,32,car49,33.3198,1.2736,77.2886,1,2,0
9,32,car331,45.5089,-0.0368,1250.1979,2,2,0
12,33,car49,34.4691,0.9892,111.3466,1,2,0
9,33,car331,45.4517,-0.058,1295.6773,2,2,0
12,34,car49,35.4964,0.8883,146.478,1,2,0
9,34,car331,45.523,0.0613,1341.1674,2,2,0
12,35,car49,36.2245,0.7927,182.4323,1,2,0
9,35,car331,45.5434,0.0142,1386.7051,2,2,0
12,36,car49,36.7712,0.3611,219.0305,1,2,0
9,36,car331,45.5191,0.0615,1432.2236,2,2,0
12,37,car49,37.1198,0.2425,256.0363,1,2,0
9,37,car331,45.5152,0.0214,1477.7445,2,2,0
12,38,car49,37.3633,0.2133,293.3067,1,2,0
9,38,car331,45.567,-0.0156,1523.2946,2,2,0
12,39,car49,37.5966,0.2062,330.8179,1,2,0
9,39,car331,45.5326,-0.0196,1568.839,2,2,0
12,40,car49,37.7019,0.0595,368.4907,1,2,0
9,40,car331,45.4977,-0.102,1614.3529,2,2,0
12,41,car49,37.6865,-0.111,406.2017,1,2,0
9,41,car331,45.4628,-0.0365,1659.8278,2,2,0
12,42,car49,37.713,0.1747,443.8706,1,2,0
9,42,car331,45.4761,0.0324,1705.2946,2,2,0
12,43,car49,37.7841,0.0041,481.6376,1,2,0
9,43,car331,45.4388,-0.0244,1750.7508,2,2,0
12,44,car49,37.7994,0.0106,519.4268,1,3,0
16,44,car374,32.8152,0.9535,52.6304,2,3,0
9,44,car331,45.4252,-0.0887,1796.192,2,3,0
12,45,car49,37.7444,-0.0706,557.1853,1,3,0
16,45,car374,33.5885,0.7403,85.9464,2,3,0
9,45,car331,45.3961,0.1069,1841.5744,2,3,0
12,46,car49,37.7265,-0.0577,594.9212,1,3,0
16,46,car374,34.1767,0.5254,119.9168,2,3,0
9,46,car331,45.5098,-0.0942,1887.071,2,3,0
12,47,car49,37.7772,-0.0056,632.6979,1,3,0
16,47,car374,34.6776,0.4488,154.4249,2,3,0
9,47,car331,45.5035,0.054,1932.5739,2,3,0
12,48,car49,37.7569,0.0016,670.4756,1,3,0
16,48,car374,35.0486,0.2984,189.3571,2,3,0
9,48,car331,45.5059,0.049,1978.0727,2,3,0
12,49,car49,37.7158,-0.0433,708.2048,1,3,0
16,49,car374,35.4338,0.3397,224.6569,2,3,0
9,49,car331,45.5309,-0.0121,2023.5978,2,3,0
17,50,truck219,24.4103,0.4936,36.8887,1,4,0
12,50,car49,37.6496,-0.1484,745.9011,1,4,0
16,50,car374,35.7142,0.1897,260.2925,2,4,0
9,50,car331,45.5329,0.0911,2069.1054,2,4,0
17,51,truck219,24.8541,0.3596,61.5951,1,4,0
12,51,car49,37.7499,0.1541,783.6018,1,4,0
16,51,car374,35.8447,-0.0113,296.1152,2,4,0
9,51,car331,45.4957,-0.0187,2114.6031,2,4,0
17,52,truck219,25.2367,0.4627,86.6721,1,5,0
12,52,car49,37.7437,0.0004,821.3545,1,5,0
18,52,car71,32.3816,1.4924,45.0357,2,5,0
16,52,car374,36.047,0.2518,332.064,2,5,0
9,52,car331,45.5028,-0.0964,2160.1181,2,5,0
17,53,truck219,25.6778,0.4738,112.1798,1,5,0
12,53,car49,37.8274,0.0992,859.1391,1,5,0
18,53,car71,33.8783,1.4665,78.3687,2,5,0
16,53,car374,36.3764,0.2596,368.3207,2,5,0
9,53,car331,45.4888,-0.0644,2205.6161,2,5,0
17,54,truck219,26.0499,0.3801,138.0867,1,5,0
12,54,car49,37.7973,-0.0799,896.9678,1,5,0
18,54,car71,35.1761,0.9876,113.1187,2,5,0
16,54,car374,36.599,0.0487,404.8649,2,5,0
9,54,car331,45.4913,-0.0613,2251.1171,2,5,0
17,55,truck219,26.4119,0.4279,164.3527,1,5,0
12,55,car49,37.7489,-0.0296,934.7272,1,5,0
18,55,car71,36.0045,0.8041,148.8235,2,5,0
16,55,car374,36.4912,-0.153,441.408,2,5,0
9,55,car331,45.5088,0.0299,2296.6106,2,5,0
17,56,truck219,26.8416,0.3603,191.0496,1,5,0
12,56,car49,37.778,0.0556,972.4987,1,5,0
18,56,car71,36.5714,0.4688,185.203,2,5,0
16,56,car374,36.4759,-0.0122,477.8907,2,5,0
9,56,car331,45.4411,-0.1086,2342.0829,2,5,0
17,57,truck219,27.0899,0.1905,218.0585,1,5,0
12,57,car49,37.8128,0.0155,1010.2937,1,5,0
18,57,car71,36.725,0.0636,221.8955,2,5,0
16,57,car374,36.3381,-0.1187,514.2893,2,5,0
9,57,car331,45.3002,-0.1646,2387.443,2,5,0
17,58,truck219,27.235,0.1192,245.2468,1,5,0
12,58,car49,37.8015,0.052,1048.0869,1,5,0
18,58,car71,36.8772,0.1522,258.7318,2,5,0
16,58,car374,36.2896,0.0444,550.5755,2,5,0
9,58,car331,45.2698,0.024,2432.7089,2,5,0
17,59,truck219,27.3888,0.18,272.5737,1,5,0
12,59,car49,37.8263,0.0316,1085.9119,1,5,0
18,59,car71,37.0592,0.1255,295.717,2,5,0
16,59,car374,36.3578,0.1746,586.8822,2,5,0
9,59,car331,45.3231,0.083,2478.006,2,5,0
17,60,truck219,27.5222,0.0902,300.056,1,5,0
12,60,car49,37.7962,0.0339,1123.7059,1,5,0
18,60,car71,37.1606,0.1317,332.8419,2,5,0
16,60,car374,36.3665,-0.0215,623.2497,2,5,0
9,60,car331,45.4545,0.1288,2523.4093,2,5,0
17,61,truck219,27.6182,0.1035,327.6327,1,5,0
12,61,car49,37.8035,0.0789,1161.502,1,5,0
18,61,car71,37.291,0.123,370.0873,2,5,0
16,61,car374,36.4495,0.1982,659.6468,2,5,0
9,61,car331,45.5303,-0.0299,2568.9293,2,5,0
17,62,truck219,27.6705,0.041,355.2841,1,5,0
12,62,car49,37.8344,0.0535,1199.333,1,5,0
18,62,car71,37.4166,-0.1452,407.5114,2,5,0
16,62,car374,36.6366,0.0032,696.2402,2,5,0
9,62,car331,45.5307,-0.0031,2614.461,2,5,0
17,63,truck219,27.7267,0.0705,382.9848,1,5,0
12,63,car49,37.7871,0.0455,1237.1271,1,5,0
18,63,car71,37.3478,-0.0897,444.8816,2,5,0
16,63,car374,36.6554,0.0892,732.8738,2,5,0
9,63,car331,45.5335,0.0058,2659.9933,2,5,0
20,64,car60,33.6413,1.7004,37.4007,1,6,0
17,64,truck219,27.7841,-0.0039,410.7553,1,6,0
12,64,car49,37.7672,0.0628,1274.9037,1,6,0
18,64,car71,37.2162,-0.1258,482.1482,2,6,0
16,64,car374,36.6589,-0.0156,769.5347,2,6,0
9,64,car331,45.5372,-0.0044,2705.5265,2,6,0
20,65,car60,35.1609,1.462,72.0062,1,6,0
17,65,truck219,27.7602,-0.0692,438.5288,1,6,0
12,65,car49,37.7645,0.0326,1312.6649,1,6,0
18,65,car71,37.1465,-0.0255,519.3205,2,6,0
16,65,car374,36.5916,-0.0673,806.1625,2,6,0
9,65,car331,45.5192,-0.0406,2751.0579,2,6,0
20,66,car60,36.4527,1.1428,108.0105,1,6,0
17,66,truck219,27.7147,-0.0011,466.2568,1,6,0
12,66,car49,37.7831,-0.0124,1350.4402,1,6,0
18,66,car71,37.18,-0.0195,556.4898,2,6,0
16,66,car374,36.6055,0.038,842.7609,2,6,0
9,66,car331,45.5061,-0.0733,2796.5644,2,6,0
