id,frame,idv_type,v,acc,x,lane_index,vehicle_sum,p_vehicle_sum
d2_8,3,car331,33.8637,1.6217,42.9977,2,1,0
d2_8,4,car331,35.3929,1.4765,77.8142,2,1,0
d2_8,5,car331,36.9578,1.4316,114.198,2,1,0
d2_8,6,car331,38.3094,1.2949,152.0124,2,1,0
d2_8,7,car331,39.4702,0.9852,191.0825,2,1,0
d2_8,8,car331,40.317,0.8382,231.092,2,1,0
d2_8,9,car331,41.007,0.7413,271.8359,2,1,0
d2_8,10,car331,41.7619,0.7302,313.3118,2,1,0
d2_8,11,car331,42.3548,0.5625,355.4549,2,1,0
d2_8,12,car331,42.7993,0.4818,398.0816,2,1,0
d2_8,13,car331,43.2589,0.4211,441.1777,2,1,0
d2_10,14,car374,32.7992,0.9007,52.6257,2,2,0
d2_8,14,car331,43.5733,0.3398,484.647,2,2,0
d2_10,15,car374,33.6975,0.8721,85.9887,2,2,0
d2_8,15,car331,43.8529,0.2625,528.3985,2,2,0
d2_10,16,car374,34.3286,0.5003,120.113,2,2,0
d2_8,16,car331,44.1146,0.1558,572.4369,2,2,0
d2_11,17,car219,31.834,1.0673,42.3388,2,3,0
d2_10,17,car374,34.77,0.4715,154.7208,2,3,0
d2_8,17,car331,44.3559,0.2378,616.6953,2,3,0
d2_11,18,car219,32.8779,1.0406,74.8313,2,3,0
d2_10,18,car374,35.1615,0.3739,189.743,2,3,0
d2_8,18,car331,44.6737,0.4182,661.2371,2,3,0
d2_11,19,car219,33.7756,0.7411,108.3164,2,3,0
d2_10,19,car374,35.5267,0.3854,225.1254,2,3,0
d2_8,19,car331,44.9782,0.2678,706.108,2,3,0
d2_11,20,car219,34.1261,0.3561,142.3273,2,3,0
d2_10,20,car374,35.986,0.3754,260.9543,2,3,0
d2_8,20,car331,45.1537,0.1698,751.1991,2,3,0
d2_11,21,car219,34.5193,0.4189,176.6808,2,3,0
d2_10,21,car374,36.3429,0.2311,297.1932,2,3,0
d2_8,21,car331,45.1725,-0.0309,796.3748,2,3,0
d2_11,22,car219,34.9376,0.3248,211.4747,2,3,0
d2_10,22,car374,36.5075,0.2007,333.6361,2,3,0
d2_8,22,car331,45.1469,0.0049,841.5268,2,3,0
d2_11,23,car219,35.3781,0.6671,246.6461,2,3,0
d2_10,23,car374,36.5661,-0.1037,370.2128,2,3,0
d2_8,23,car331,45.1131,-0.0277,886.6557,2,3,0
d2_11,24,car219,36.1574,0.7874,282.5037,2,3,0
d2_10,24,car374,36.5896,0.0368,406.7813,2,3,0
d2_8,24,car331,45.1687,0.1331,931.7962,2,3,0
d2_11,25,car219,36.6823,0.3464,319.0267,2,3,0
d2_10,25,car374,36.5534,-0.0207,443.3512,2,3,0
d2_8,25,car331,45.3596,0.1533,977.0864,2,3,0
d2_11,26,car219,36.9027,0.3168,355.8304,2,3,0
d2_10,26,car374,36.5792,0.0267,479.9224,2,3,0
d2_8,26,car331,45.4832,0.0479,1022.5333,2,3,0
d2_11,27,car219,36.9315,-0.2881,392.8084,2,3,0
d2_10,27,car374,36.4961,0.0438,516.4311,2,3,0
d2_8,27,car331,45.5151,-0.0306,1068.0572,2,3,0
d2_11,28,car219,36.9128,-0.2003,429.7528,2,3,0
d2_10,28,car374,36.4998,-0.0228,552.9445,2,3,0
d2_8,28,car331,45.5016,-0.0684,1113.5777,2,3,0
d2_11,29,car219,36.979,0.3304,466.6594,2,3,0
d2_10,29,car374,36.4667,-0.0241,589.4271,2,3,0
d2_8,29,car331,45.4595,-0.0004,1159.0459,2,3,0
d2_11,30,car219,36.9834,0.0118,503.6473,2,3,0
d2_10,30,car374,36.5856,0.2127,625.9434,2,3,0
d2_8,30,car331,45.4341,-0.1062,1204.5065,2,3,0
d2_11,31,car219,36.943,-0.0565,540.5918,2,3,0
d2_10,31,car374,36.5843,0.0474,662.5391,2,3,0
d2_8,31,car331,45.5334,0.1537,1249.9807,2,3,0
d2_13,32,car60,33.6899,1.8949,37.4129,2,4,0
d2_11,32,car219,36.8221,-0.0958,577.4661,2,4,0
d2_10,32,car374,36.6078,0.0359,699.1368,2,4,0
d2_8,32,car331,45.5041,-0.0326,1295.4904,2,4,0
d2_13,33,car60,35.2135,1.1833,72.1266,2,4,0
d2_11,33,car219,36.6708,-0.1816,614.2051,2,4,0
d2_10,33,car374,36.634,0.1634,735.741,2,4,0
d2_8,33,car331,45.4835,-0.0268,1340.9787,2,4,0
d2_13,34,car60,36.2932,1.024,108.0186,2,4,0
d2_11,34,car219,36.3994,-0.3018,650.7092,2,4,0
d2_10,34,car374,36.6265,0.1074,772.3566,2,4,0
d2_8,34,car331,45.4101,-0.0318,1386.4107,2,4,0
d2_13,35,car60,37.1894,0.8061,144.8883,2,4,0
d2_11,35,car219,36.2263,0.0314,686.9557,2,4,0
d2_10,35,car374,36.5728,0.0658,808.931,2,4,0
d2_8,35,car331,45.3831,-0.0778,1431.818,2,4,0
